image_path,split,is_ai,ai_model
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\000_biggan_00093.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\001_biggan_00033.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\002_biggan_00010.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\002_biggan_00163.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\003_biggan_00052.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\003_biggan_00058.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\004_biggan_00054.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\004_biggan_00068.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\005_biggan_00086.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\006_biggan_00005.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\006_biggan_00097.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\006_biggan_00182.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\007_biggan_00131.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\007_biggan_00152.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\008_biggan_00052.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\008_biggan_00184.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\009_biggan_00093.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\009_biggan_00126.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\010_biggan_00072.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\010_biggan_00176.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\011_biggan_00026.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\011_biggan_00106.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\011_biggan_00130.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\011_biggan_00188.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\012_biggan_00057.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\012_biggan_00097.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\012_biggan_00139.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\014_biggan_00055.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\014_biggan_00056.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\014_biggan_00062.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\017_biggan_00002.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\017_biggan_00069.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\017_biggan_00106.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\018_biggan_00140.png,train,True,biggan
C:\Users\33573\.cache\kagglehub\datasets\yangsangtai\tiny-genimage\versions\1\imagenet_ai_0419_biggan\train\ai\019_biggan_00154.png,train,True,biggan
